"","Contributor","Total","PACs","Individuals","Senator"
"7651","Gilead Sciences","$5800","$0","$5800","Jackie Speier"
"7652","True Wind Capital","$5800","$0","$5800","Jackie Speier"
"7653","Visa Inc","$5800","$0","$5800","Jackie Speier"
"7654","Xq","$5800","$0","$5800","Jackie Speier"
"7655","American Assn for Justice","$5000","$5000","$0","Jackie Speier"
"7656","J Street","$3500","$2000","$1500","Jackie Speier"
"7657","Avalon Academy","$3000","$0","$3000","Jackie Speier"
"7658","Castlerock Management","$4000","$0","$4000","Lavern Spicer"
"7659","Fast Food Systems","$2900","$0","$2900","Lavern Spicer"
"7660","Jeffrey Verdon Law","$2900","$0","$2900","Lavern Spicer"
"7661","Applied Materials Inc","$1000","$0","$1000","Lavern Spicer"
"7662","Sasco","$1000","$0","$1000","Lavern Spicer"
"7663","Unybrands","$1000","$0","$1000","Lavern Spicer"
"7664","Securiguard Inc","$735","$0","$735","Lavern Spicer"
"7665","Createve Consultant","$675","$0","$675","Lavern Spicer"
"7666","Master Spas","$663","$0","$663","Lavern Spicer"
"7667","Archer Auto Group","$500","$0","$500","Lavern Spicer"
"7668","Air Pro Heating & Cooling","$11600","$0","$11600","Heidi St. John"
"7669","US Digital Corp","$11600","$0","$11600","Heidi St. John"
"7670","MECHANICAL ENGINEERING","$10195","$0","$10195","Heidi St. John"
"7671","Finance of America Companies","$10000","$0","$10000","Heidi St. John"
"7672","Vancouver Clinic","$9427","$0","$9427","Heidi St. John"
"7673","Crowley Maritime","$8700","$0","$8700","Heidi St. John"
"7674","Ks Electric","$7030","$0","$7030","Heidi St. John"
"7675","Estes Ent","$6124","$0","$6124","Heidi St. John"
"7676","Breaking Ground Excavation","$5800","$0","$5800","Heidi St. John"
"7677","Heal Our Lands","$5800","$0","$5800","Heidi St. John"
"7678","Committee to Elect Brittany Trambauer-Smith","$2900","$2900","$0","Judith Stahl"
"7679","Downballot Dems","$2900","$0","$2900","Judith Stahl"
"7680","Ryan Specialty Group","$2900","$0","$2900","Judith Stahl"
"7681","Simon Youth Foundation","$2900","$0","$2900","Judith Stahl"
"7682","Upland Voice","$2900","$0","$2900","Judith Stahl"
"7683","Washington Brokerage","$2900","$0","$2900","Judith Stahl"
"7684","Buchanan, Ingersoll & Rooney","$2500","$0","$2500","Judith Stahl"
"7685","Alsco Inc","$2000","$0","$2000","Judith Stahl"
"7686","Corky Hale Productions","$2000","$0","$2000","Judith Stahl"
"7687","Real Estate Developer of Affordable Ho","$1500","$0","$1500","Judith Stahl"
"7688","Committee to Elect Brittany Trambauer-Smith","$2900","$2900","$0","Judith Stahl"
"7689","Downballot Dems","$2900","$0","$2900","Judith Stahl"
"7690","Ryan Specialty Group","$2900","$0","$2900","Judith Stahl"
"7691","Simon Youth Foundation","$2900","$0","$2900","Judith Stahl"
"7692","Upland Voice","$2900","$0","$2900","Judith Stahl"
"7693","Washington Brokerage","$2900","$0","$2900","Judith Stahl"
"7694","Buchanan, Ingersoll & Rooney","$2500","$0","$2500","Judith Stahl"
"7695","Alsco Inc","$2000","$0","$2000","Judith Stahl"
"7696","Corky Hale Productions","$2000","$0","$2000","Judith Stahl"
"7697","Real Estate Developer of Affordable Ho","$1500","$0","$1500","Judith Stahl"
"7698","University of New Mexico","$37083","$0","$37083","Melanie Stansbury"
"7699","Democracy Engine","$24510","$0","$24510","Melanie Stansbury"
"7700","J Street","$22867","$2500","$20367","Melanie Stansbury"
"7701","Honeywell International","$21650","$0","$21650","Melanie Stansbury"
"7702","EMILY's List","$16918","$10000","$6918","Melanie Stansbury"
"7703","314 Action","$15000","$15000","$0","Melanie Stansbury"
"7704","American Assn for Justice","$15000","$15000","$0","Melanie Stansbury"
"7705","AmeriPAC: The Fund for a Greater America","$15000","$15000","$0","Melanie Stansbury"
"7706","Carpenters & Joiners Union","$15000","$15000","$0","Melanie Stansbury"
"7707","Congressional Progressive Caucus PAC","$15000","$15000","$0","Melanie Stansbury"
"7708","Arizona State University","$36945","$0","$36945","Greg Stanton"
"7709","American Israel Public Affairs Cmte","$25350","$10000","$15350","Greg Stanton"
"7710","W Holdings","$25300","$0","$25300","Greg Stanton"
"7711","Blue Cross/Blue Shield","$24904","$6500","$18404","Greg Stanton"
"7712","Snell & Wilmer","$24039","$0","$24039","Greg Stanton"
"7713","Salt River Project","$18000","$10000","$8000","Greg Stanton"
"7714","Mayo Clinic","$17475","$0","$17475","Greg Stanton"
"7715","Ballard Spahr LLP","$16755","$6000","$10755","Greg Stanton"
"7716","Banner Health","$16425","$0","$16425","Greg Stanton"
"7717","Pro-Israel America PAC","$16000","$0","$16000","Greg Stanton"
"7718","Constitutional Rights PAC","$1000","$1000","$0","Baxter Stapleton"
"7719","A Special Wish Foundation","$250","$0","$250","Baxter Stapleton"
"7720","Ghostlight Coffee","$250","$0","$250","Baxter Stapleton"
"7721","Votesane PAC","$141800","$0","$141800","Pete Stauber"
"7722","Brian Dror Cpa","$25800","$0","$25800","Pete Stauber"
"7723","Hubbard Broadcasting","$25700","$0","$25700","Pete Stauber"
"7724","Anderson Trucking Service","$17400","$0","$17400","Pete Stauber"
"7725","Miner's Inc (Minnesota)","$12800","$0","$12800","Pete Stauber"
"7726","Arvig Enterprises","$12600","$0","$12600","Pete Stauber"
"7727","Frana Companies","$12600","$0","$12600","Pete Stauber"
"7728","Dimensional Fund Advisors","$11600","$0","$11600","Pete Stauber"
"7729","EOG Resources","$11600","$0","$11600","Pete Stauber"
"7730","Fisher Investments","$11600","$0","$11600","Pete Stauber"
"7731","American Israel Public Affairs Cmte","$20400","$7900","$12500","Michelle Steel"
"7732","New York Life Insurance","$15750","$15000","$750","Michelle Steel"
"7733","Blue Cross/Blue Shield","$15500","$15500","$0","Michelle Steel"
"7734","Affiliated Managers Group","$14500","$0","$14500","Michelle Steel"
"7735","2nd Request Made","$12630","$0","$12630","Michelle Steel"
"7736","Word & Brown","$12600","$0","$12600","Michelle Steel"
"7737","Active USA","$11600","$0","$11600","Michelle Steel"
"7738","Ball Ventures","$11600","$0","$11600","Michelle Steel"
"7739","Dimensional Fund Advisors","$11600","$0","$11600","Michelle Steel"
"7740","Koala Know","$11600","$0","$11600","Michelle Steel"
"7741","NextEra Energy","$3500","$3500","$0","Michael Steele"
"7742","Msum","$10","$0","$10","Michael Steele"
"7743","NorPAC","$16000","$2000","$14000","Elise Stefanik"
"7744","E-PAC","$15000","$15000","$0","Elise Stefanik"
"7745","Jackson Hole Mountain Resort","$13700","$0","$13700","Elise Stefanik"
"7746","Cassidy Organization","$11600","$0","$11600","Elise Stefanik"
"7747","DA Collins Companies","$11600","$0","$11600","Elise Stefanik"
"7748","HJ Kalikow & Co","$11600","$0","$11600","Elise Stefanik"
"7749","Park Savoy","$11600","$0","$11600","Elise Stefanik"
"7750","Uline Inc","$11600","$0","$11600","Elise Stefanik"
"7751","Home Depot","$11339","$10000","$1339","Elise Stefanik"
"7752","Yancey Brothers","$11200","$0","$11200","Elise Stefanik"
"7753","American Israel Public Affairs Cmte","$32400","$10000","$22400","Bryan Steil"
"7754","Abc Supply","$31000","$0","$31000","Bryan Steil"
"7755","Blackstone Group","$30000","$0","$30000","Bryan Steil"
"7756","Northwestern Mutual","$23600","$10000","$13600","Bryan Steil"
"7757","Epic Systems","$21600","$0","$21600","Bryan Steil"
"7758","Herzog","$19900","$2500","$17400","Bryan Steil"
"7759","Continental Properties","$17400","$0","$17400","Bryan Steil"
"7760","Apollo Global Management","$17200","$0","$17200","Bryan Steil"
"7761","Cuna Mutual Group","$16100","$4500","$11600","Bryan Steil"
"7762","Morgan Stanley","$16050","$10000","$6050","Bryan Steil"
"7763","K Rowe Investments","$2900","$0","$2900","John Stephens"
"7764","Johnson & Johnson","$505","$0","$505","John Stephens"
"7765","Tbh Consulting","$450","$0","$450","John Stephens"
"7766","United Rural Democrats of America","$400","$400","$0","John Stephens"
"7767","Stratosphere Quality","$250","$0","$250","John Stephens"
"7768","Heritage Parts","$150","$0","$150","John Stephens"
"7769","Dept of Veterans Affairs","$5800","$0","$5800","Everett Stern"
"7770","Epic Gymnastics","$1500","$0","$1500","Everett Stern"
"7771","Enet","$1000","$0","$1000","Everett Stern"
"7772","Pb Shore House","$1000","$0","$1000","Everett Stern"
"7773","Whitney Llp","$1000","$0","$1000","Everett Stern"
"7774","Comcast Corp","$250","$0","$250","Everett Stern"
"7775","Coordinates","$250","$0","$250","Everett Stern"
"7776","American Israel Public Affairs Cmte","$30500","$10000","$20500","Greg Steube"
"7777","US Sugar","$12700","$7500","$5200","Greg Steube"
"7778","Blue Cross/Blue Shield","$12250","$12000","$250","Greg Steube"
"7779","Nextone LLC","$11600","$0","$11600","Greg Steube"
"7780","Club for Growth","$10450","$0","$10450","Greg Steube"
"7781","Associated Builders & Contractors","$10000","$10000","$0","Greg Steube"
"7782","BGR Group","$10000","$0","$10000","Greg Steube"
"7783","Charter Communications","$10000","$10000","$0","Greg Steube"
"7784","Eye of the Tiger PAC","$10000","$10000","$0","Greg Steube"
"7785","Fanjul Corp","$10000","$0","$10000","Greg Steube"
"7786","American Israel Public Affairs Cmte","$635728","$7100","$628628","Haley Stevens"
"7787","Democracy Engine","$90757","$0","$90757","Haley Stevens"
"7788","Pro-Israel America PAC","$57400","$4000","$53400","Haley Stevens"
"7789","EMILY's List","$34838","$5000","$29838","Haley Stevens"
"7790","Alphabet Inc","$25515","$1000","$24515","Haley Stevens"
"7791","Blue Cross/Blue Shield","$18665","$12000","$6665","Haley Stevens"
"7792","Frontline USA","$18585","$2500","$16085","Haley Stevens"
"7793","Blackstone Group","$18150","$0","$18150","Haley Stevens"
"7794","Trinity Health","$17134","$0","$17134","Haley Stevens"
"7795","General Motors","$16800","$10000","$6800","Haley Stevens"
"7796","Strategic Public Partners","$6118","$5000","$1118","Brian Stewart"
"7797","Swing State Strategies","$3150","$0","$3150","Brian Stewart"
"7798","Court Street Consulting","$2900","$0","$2900","Brian Stewart"
"7799","Montrose Group","$2900","$0","$2900","Brian Stewart"
"7800","Bialy Wampler Group","$1622","$0","$1622","Brian Stewart"
"7801","Ashville Civic Club","$1621","$0","$1621","Brian Stewart"
"7802","Claypool Electric","$1621","$0","$1621","Brian Stewart"
"7803","Pickaway County","$1621","$0","$1621","Brian Stewart"
"7804","Rise Realty & Management Co","$1397","$0","$1397","Brian Stewart"
"7805","Roth Davis LLC","$1397","$0","$1397","Brian Stewart"
"7806","Ultra Electronics","$20800","$15000","$5800","Chris Stewart"
"7807","L3Harris Technologies","$17825","$15000","$2825","Chris Stewart"
"7808","Raytheon Technologies","$15100","$15000","$100","Chris Stewart"
"7809","KKR & Co","$15000","$15000","$0","Chris Stewart"
"7810","National Assn of Realtors","$15000","$15000","$0","Chris Stewart"
"7811","National Auto Dealers Assn","$15000","$15000","$0","Chris Stewart"
"7812","Western Slopes Security Services","$14010","$0","$14010","Chris Stewart"
"7813","Medquest Pharmacy","$13600","$0","$13600","Chris Stewart"
"7814","Bank of America","$12500","$0","$12500","Chris Stewart"
"7815","Dorsey & Whitney","$12450","$1250","$11200","Chris Stewart"
"7816","Wendy M Moore DDS","$2900","$0","$2900","Alex Stovall"
"7817","Authority Fleet Services","$2500","$0","$2500","Alex Stovall"
"7818","Jackson Square Properties","$2000","$0","$2000","Alex Stovall"
"7819","Hubbell Electro-Mechanical","$1000","$0","$1000","Alex Stovall"
"7820","Triwest Healthcare Alliance","$500","$0","$500","Alex Stovall"
"7821","Arizona Dui Services","$390","$0","$390","Alex Stovall"
"7822","Baldwin Moore","$300","$0","$300","Alex Stovall"
"7823","Vector Broadcast LLC","$260","$0","$260","Alex Stovall"
"7824","Aja Smith for Congress 2022","$250","$250","$0","Alex Stovall"
"7825","Council Member","$250","$0","$250","Alex Stovall"
"7826","Greenberg Traurig LLP","$8200","$0","$8200","Sharif Street"
"7827","Zarwin, Baum et al","$7250","$0","$7250","Sharif Street"
"7828","Blue Cross/Blue Shield","$6750","$3500","$3250","Sharif Street"
"7829","Duane Morris LLP","$6500","$6500","$0","Sharif Street"
"7830","Dvr Construction","$6400","$0","$6400","Sharif Street"
"7831","Foundation Risk Partners","$5000","$0","$5000","Sharif Street"
"7832","Plumbers/Pipefitters Union","$5000","$5000","$0","Sharif Street"
"7833","Serenity","$4900","$0","$4900","Sharif Street"
"7834","Allstate Insurance","$2900","$0","$2900","Sharif Street"
"7835","Asim Rana MD","$2900","$0","$2900","Sharif Street"
"7836","Amazon.com","$35068","$15000","$20068","Marilyn Strickland"
"7837","Valve Corp","$13900","$0","$13900","Marilyn Strickland"
"7838","Raikes Foundation","$11600","$0","$11600","Marilyn Strickland"
"7839","New Democrat Coalition","$11000","$10000","$1000","Marilyn Strickland"
"7840","Microsoft Corp","$10836","$5000","$5836","Marilyn Strickland"
"7841","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Marilyn Strickland"
"7842","Caterpillar Inc","$10000","$10000","$0","Marilyn Strickland"
"7843","Home Depot","$10000","$10000","$0","Marilyn Strickland"
"7844","National Assn of Realtors","$10000","$10000","$0","Marilyn Strickland"
"7845","National Beer Wholesalers Assn","$10000","$10000","$0","Marilyn Strickland"
"7846","Collazo Enterprises","$68100","$0","$68100","Dale Strong"
"7847","Hometown Lenders","$29800","$0","$29800","Dale Strong"
"7848","Radiance Technologies","$26900","$10000","$16900","Dale Strong"
"7849","Ignite","$21300","$0","$21300","Dale Strong"
"7850","Broadway Group","$18850","$0","$18850","Dale Strong"
"7851","McDaniel & Mcdaniel","$17850","$0","$17850","Dale Strong"
"7852","Breland Homes","$17400","$0","$17400","Dale Strong"
"7853","Kb Development LLC","$17400","$0","$17400","Dale Strong"
"7854","Madison County Schools","$17400","$0","$17400","Dale Strong"
"7855","Smart Living","$17200","$0","$17200","Dale Strong"
"7856","Gravel Point Consulting","$2000","$0","$2000","Scott Sturm"
"7857","University of Texas","$1750","$0","$1750","Scott Sturm"
"7858","Devolver Divital","$1500","$0","$1500","Scott Sturm"
"7859","Yale University","$1000","$0","$1000","Scott Sturm"
"7860","Amazon.com","$600","$0","$600","Scott Sturm"
"7861","Avior Wealth Management LLC","$600","$0","$600","Scott Sturm"
"7862","Gibson Co (Texas)","$600","$0","$600","Scott Sturm"
"7863","Recording Artist/Performer","$500","$0","$500","Scott Sturm"
"7864","Exxon Mobil","$435","$0","$435","Scott Sturm"
"7865","St Edward'S University","$400","$0","$400","Scott Sturm"
"7866","National Education Assn","$25200","$2000","$23200","Tom Suozzi"
"7867","Mack-Cali Realty","$23200","$0","$23200","Tom Suozzi"
"7868","Sterling Equities","$21500","$0","$21500","Tom Suozzi"
"7869","Henry Schein Inc","$20300","$0","$20300","Tom Suozzi"
"7870","Rxr Realty","$17400","$0","$17400","Tom Suozzi"
"7871","Seafarers International Union","$15000","$15000","$0","Tom Suozzi"
"7872","Arbor Realty Trust","$14100","$2500","$11600","Tom Suozzi"
"7873","Aag Management","$11600","$0","$11600","Tom Suozzi"
"7874","Chubb Group","$11600","$0","$11600","Tom Suozzi"
"7875","Democracy Engine","$11600","$0","$11600","Tom Suozzi"
"7876","Northwell Health","$2045","$0","$2045","Kevin Surdi"
"7877","Nyc Marshal","$1000","$0","$1000","Kevin Surdi"
"7878","Cooke School","$800","$0","$800","Kevin Surdi"
"7879","Alpers Excavating","$500","$0","$500","Kevin Surdi"
"7880","Candid Communications","$500","$0","$500","Kevin Surdi"
"7881","Raleigh Farm","$500","$0","$500","Kevin Surdi"
"7882","Division Head of Lower School","$350","$0","$350","Kevin Surdi"
"7883","Dan Brady Painting","$250","$0","$250","Kevin Surdi"
"7884","Fuentes Cosmetic Surgery","$250","$0","$250","Kevin Surdi"
"7885","Gabriel Performance","$250","$0","$250","Kevin Surdi"
"7886","Al Natour Restaurant","$5800","$0","$5800","Darlene Swaffar"
"7887","Superior Tree & Landscape","$5000","$0","$5000","Darlene Swaffar"
"7888","Slavic401k","$3900","$0","$3900","Darlene Swaffar"
"7889","Joli Law Firm","$3500","$0","$3500","Darlene Swaffar"
"7890","Investments Ltd","$2900","$0","$2900","Darlene Swaffar"
"7891","Project Freedom PAC","$2900","$2900","$0","Darlene Swaffar"
"7892","Advanced Home Health","$2837","$0","$2837","Darlene Swaffar"
"7893","Swaffar for Congress","$2800","$0","$2800","Darlene Swaffar"
"7894","One Sotheby's","$2750","$0","$2750","Darlene Swaffar"
"7895","Desenze Dentistry & Assoc","$2700","$0","$2700","Darlene Swaffar"
"7896","Mackenzie Capital Management","$23200","$0","$23200","Eric Swalwell"
"7897","Kirkland & Ellis","$20300","$0","$20300","Eric Swalwell"
"7898","Comcast Corp","$14775","$2500","$12275","Eric Swalwell"
"7899","KPMG LLP","$13800","$7500","$6300","Eric Swalwell"
"7900","Another Planet Entertainment","$13600","$0","$13600","Eric Swalwell"
"7901","Walt Disney Co","$13350","$0","$13350","Eric Swalwell"
"7902","American Israel Public Affairs Cmte","$12900","$7900","$5000","Eric Swalwell"
"7903","Amazon.com","$12750","$10000","$2750","Eric Swalwell"
"7904","Wachtell, Lipton et al","$12200","$0","$12200","Eric Swalwell"
"7905","University of California","$11620","$0","$11620","Eric Swalwell"
"7906","Assurant Inc","$250","$0","$250","Michael Swanson"
"7907","Esri","$13100","$0","$13100","Mark Takano"
"7908","University of California","$11600","$0","$11600","Mark Takano"
"7909","Veterans United Home Loans","$11600","$0","$11600","Mark Takano"
"7910","Anywhere Real Estate","$10520","$0","$10520","Mark Takano"
"7911","International Brotherhood of Electrical Workers","$10480","$10000","$480","Mark Takano"
"7912","American Crystal Sugar","$10000","$10000","$0","Mark Takano"
"7913","American Federation of Teachers","$10000","$10000","$0","Mark Takano"
"7914","Carpenters & Joiners Union","$10000","$10000","$0","Mark Takano"
"7915","Communications Workers of America","$10000","$10000","$0","Mark Takano"
"7916","Council of Insurance Agents & Brokers","$10000","$10000","$0","Mark Takano"
"7917","Society of Kauffman Fellows","$5600","$0","$5600","Greg Tanaka"
"7918","Experiencefirst","$5000","$0","$5000","Greg Tanaka"
"7919","Alphabet Inc","$4088","$0","$4088","Greg Tanaka"
"7920","Northern California Branch Aal","$3247","$0","$3247","Greg Tanaka"
"7921","Crv","$2900","$0","$2900","Greg Tanaka"
"7922","Gp","$2900","$0","$2900","Greg Tanaka"
"7923","Huma Technologies","$2900","$0","$2900","Greg Tanaka"
"7924","Kenetic","$2900","$0","$2900","Greg Tanaka"
"7925","Merchant Adventure Investment","$2900","$0","$2900","Greg Tanaka"
"7926","Slvc","$2900","$0","$2900","Greg Tanaka"
"7927","Ohio State University","$6600","$0","$6600","Omar Tarazi"
"7928","Amanda Services","$5600","$0","$5600","Omar Tarazi"
"7929","Allied","$5000","$0","$5000","Omar Tarazi"
"7930","Igg Alliance","$4800","$0","$4800","Omar Tarazi"
"7931","Tcetra","$4500","$0","$4500","Omar Tarazi"
"7932","Star Motor Sales","$2900","$0","$2900","Omar Tarazi"
"7933","Anywhere Real Estate","$2800","$0","$2800","Omar Tarazi"
"7934","International Academy","$2800","$0","$2800","Omar Tarazi"
"7935","Majed Nounau Md","$2800","$0","$2800","Omar Tarazi"
"7936","Premier Health","$2800","$0","$2800","Omar Tarazi"
"7937","Azzur Group","$3150","$0","$3150","Hector Tavarez"
"7938","Ppb Inc","$2200","$0","$2200","Hector Tavarez"
"7939","Cape Regional","$1800","$0","$1800","Hector Tavarez"
"7940","Mitre Corp","$1500","$0","$1500","Hector Tavarez"
"7941","Jrc Plumbing","$1000","$0","$1000","Hector Tavarez"
"7942","Atlanticare Health System","$750","$0","$750","Hector Tavarez"
"7943","Hardrock Hotel & Casino Ac","$750","$0","$750","Hector Tavarez"
"7944","Brandon Restoration","$600","$0","$600","Hector Tavarez"
"7945","Oaf Nation","$600","$0","$600","Hector Tavarez"
"7946","Sheet Metal, Air, Rail & Transportation Union","$600","$0","$600","Hector Tavarez"
"7947","Website & Design","$1605","$0","$1605","Priscilla Taylor"
"7948","Blue Water Construction","$1000","$0","$1000","Priscilla Taylor"
"7949","Palm Beach Syaye University","$1000","$0","$1000","Priscilla Taylor"
"7950","Heritage Carpet & Tile Co","$750","$0","$750","Priscilla Taylor"
"7951","Gary, Dytrych et al","$500","$0","$500","Priscilla Taylor"
"7952","Palm Beach County, FL","$500","$0","$500","Priscilla Taylor"
"7953","Yukon Construction","$500","$0","$500","Priscilla Taylor"
"7954","Bahr Brothers Manufacturing","$300","$0","$300","Priscilla Taylor"
"7955","Reiter Law Firm et al","$300","$0","$300","Priscilla Taylor"
"7956","2gho Inc","$250","$0","$250","Priscilla Taylor"
"7957","Westlake City Schools","$100","$0","$100","Richard Taylor"
"7958","Southeastern Jewelry & Pawn","$500","$0","$500","Tracy Taylor"
"7959","Brad Lanier Oil Co","$250","$0","$250","Tracy Taylor"
"7960","Votesane PAC","$152500","$0","$152500","Van Taylor"
"7961","Democracy Engine","$63450","$0","$63450","Van Taylor"
"7962","Advent International","$13700","$0","$13700","Van Taylor"
"7963","Blackstone Group","$11600","$0","$11600","Van Taylor"
"7964","Crump Energy Partners","$11600","$0","$11600","Van Taylor"
"7965","Deason Capital Services","$10598","$0","$10598","Van Taylor"
"7966","Capital One Financial","$10000","$10000","$0","Van Taylor"
"7967","Liberty Mutual","$10000","$10000","$0","Van Taylor"
"7968","UBS AG","$10000","$10000","$0","Van Taylor"
"7969","Churchill Capital","$9500","$0","$9500","Van Taylor"
"7970","American Israel Public Affairs Cmte","$28250","$10000","$18250","Claudia Tenney"
"7971","Rock Holdings","$19400","$2000","$17400","Claudia Tenney"
"7972","Susan B Anthony List","$17999","$3500","$14499","Claudia Tenney"
"7973","E-PAC","$15000","$15000","$0","Claudia Tenney"
"7974","Eye of the Tiger PAC","$15000","$15000","$0","Claudia Tenney"
"7975","Majority Cmte PAC","$15000","$15000","$0","Claudia Tenney"
"7976","Hubbard Broadcasting","$12900","$0","$12900","Claudia Tenney"
"7977","Maggie's List","$11700","$6800","$4900","Claudia Tenney"
"7978","Ball Ventures","$11600","$0","$11600","Claudia Tenney"
"7979","Bluff Point Assoc","$11600","$0","$11600","Claudia Tenney"
"7980","Navaid Partners","$5800","$0","$5800","Michael Ter Maat"
"7981","Fdoc","$2900","$0","$2900","Michael Ter Maat"
"7982","Consumer R E Funding","$650","$0","$650","Michael Ter Maat"
"7983","Reason Foundation","$500","$0","$500","Michael Ter Maat"
"7984","Mises PAC","$498","$498","$0","Michael Ter Maat"
"7985","Metals & Coins","$355","$0","$355","Michael Ter Maat"
"7986","Adci","$280","$0","$280","Michael Ter Maat"
"7987","Microsoft Corp","$10285","$7500","$2785","Bennie G Thompson"
"7988","Air Line Pilots Assn","$10000","$10000","$0","Bennie G Thompson"
"7989","Altria Group","$10000","$10000","$0","Bennie G Thompson"
"7990","American Crystal Sugar","$10000","$10000","$0","Bennie G Thompson"
"7991","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Bennie G Thompson"
"7992","American Waterways Operators","$10000","$10000","$0","Bennie G Thompson"
"7993","AT&T Inc","$10000","$10000","$0","Bennie G Thompson"
"7994","Deloitte LLP","$10000","$10000","$0","Bennie G Thompson"
"7995","Laborers Union","$10000","$10000","$0","Bennie G Thompson"
"7996","Land O'Lakes","$10000","$10000","$0","Bennie G Thompson"
"7997","USA Rice Federation","$17499","$17499","$0","Glenn Thompson"
"7998","Nulton Diagnostic & Treatment","$16900","$0","$16900","Glenn Thompson"
"7999","Koch Industries","$12500","$10000","$2500","Glenn Thompson"
"8000","FTX.US","$11600","$0","$11600","Glenn Thompson"
"8001","Kriebel Minerals","$10900","$0","$10900","Glenn Thompson"
"8002","Alabama Farmers Federation","$10500","$10000","$500","Glenn Thompson"
"8003","Texas Cattle Feeders Assn","$10500","$10000","$500","Glenn Thompson"
"8004","Southern Cotton Growers Inc","$10250","$10000","$250","Glenn Thompson"
"8005","American Bankers Assn","$10000","$10000","$0","Glenn Thompson"
"8006","American Cotton Shippers Assn","$10000","$10000","$0","Glenn Thompson"
"8007","Schiff Insurance","$1000","$0","$1000","MacKenzie Thompson"
"8008","Coast Lighting","$250","$0","$250","MacKenzie Thompson"
"8009","Wright Patt Credit Union","$250","$0","$250","MacKenzie Thompson"
"8010","Unlisted","$7425","$0","$7425","Michael Anthony Thompson"
"8011","Arista Networks","$2600","$0","$2600","Michael Anthony Thompson"
"8012","Gic Consulting Services Inc","$2000","$0","$2000","Michael Anthony Thompson"
"8013","City of Chicago, IL","$1180","$0","$1180","Michael Anthony Thompson"
"8014","Parent Co-Op for Early Learnin","$1175","$0","$1175","Michael Anthony Thompson"
"8015","Meta","$1125","$0","$1125","Michael Anthony Thompson"
"8016","Not Listed","$1050","$0","$1050","Michael Anthony Thompson"
"8017","Asi Inc","$1000","$0","$1000","Michael Anthony Thompson"
"8018","Mjt Holdings","$1000","$0","$1000","Michael Anthony Thompson"
"8019","Adp","$700","$0","$700","Michael Anthony Thompson"
"8020","Jackson Family Enterprises","$46469","$0","$46469","Mike Thompson"
"8021","Gallo Winery","$19000","$0","$19000","Mike Thompson"
"8022","Northwestern Mutual","$14250","$10000","$4250","Mike Thompson"
"8023","Ernst & Young","$13003","$10000","$3003","Mike Thompson"
"8024","Trinchero Family Estates","$12800","$0","$12800","Mike Thompson"
"8025","Silver Oak Cellars","$11751","$0","$11751","Mike Thompson"
"8026","Staglin Family Vineyards","$11702","$0","$11702","Mike Thompson"
"8027","Wine Institute","$11306","$10000","$1306","Mike Thompson"
"8028","Pisces Inc","$10800","$0","$10800","Mike Thompson"
"8029","AFLAC Inc","$10000","$10000","$0","Mike Thompson"
"8030","Votesane PAC","$177500","$0","$177500","John Thune"
"8031","Sanford Health","$78500","$0","$78500","John Thune"
"8032","American Israel Public Affairs Cmte","$61100","$2100","$59000","John Thune"
"8033","Apollo Global Management","$46900","$7500","$39400","John Thune"
"8034","Delta Air Lines","$45600","$7500","$38100","John Thune"
"8035","NorPAC","$44311","$0","$44311","John Thune"
"8036","Capital Group","$40000","$0","$40000","John Thune"
"8037","Fidelity Investments","$36650","$8500","$28150","John Thune"
"8038","Comcast Corp","$36550","$10000","$26550","John Thune"
"8039","Goldman Sachs","$35000","$5000","$30000","John Thune"
"8040","Southern Glazer's Wine & Spirits","$10000","$10000","$0","Perry Thurston"
"8041","Law Offices of Daryl L Jones","$5800","$0","$5800","Perry Thurston"
"8042","Siboney Contracting Co","$5009","$0","$5009","Perry Thurston"
"8043","American Federation of Teachers","$5000","$5000","$0","Perry Thurston"
"8044","Amscot Financial","$5000","$0","$5000","Perry Thurston"
"8045","Cordish Co","$5000","$0","$5000","Perry Thurston"
"8046","Costco Wholesale","$5000","$0","$5000","Perry Thurston"
"8047","International Brotherhood of Electrical Workers","$5000","$5000","$0","Perry Thurston"
"8048","Machinists/Aerospace Workers Union","$5000","$5000","$0","Perry Thurston"
"8049","Mark Iii","$5000","$0","$5000","Perry Thurston"
"8050","Ashley Furniture Industries","$11600","$0","$11600","Tom Tiffany"
"8051","Masterson Co","$11600","$0","$11600","Tom Tiffany"
"8052","TA Solberg Co","$11600","$0","$11600","Tom Tiffany"
"8053","Uline Inc","$11600","$0","$11600","Tom Tiffany"
"8054","American Israel Public Affairs Cmte","$10000","$10000","$0","Tom Tiffany"
"8055","House Freedom Fund","$10000","$10000","$0","Tom Tiffany"
"8056","Majority Cmte PAC","$10000","$10000","$0","Tom Tiffany"
"8057","Associated Builders & Contractors","$9500","$9500","$0","Tom Tiffany"
"8058","Northwestern Mutual","$8000","$8000","$0","Tom Tiffany"
"8059","Abc Supply","$5800","$0","$5800","Tom Tiffany"
"8060","Sugar Creek Packing","$20300","$0","$20300","Jane Timken"
"8061","North American Properties","$19000","$0","$19000","Jane Timken"
"8062","Cleveland Clinic","$17400","$0","$17400","Jane Timken"
"8063","Kimball Midwest","$15800","$0","$15800","Jane Timken"
