"Contributor","Total","PACs","Individuals","Senator"
"Kaiser Permanente","$3610","$0","$3610","Holly McCormack"
"Ashley Garrett Photography","$2900","$0","$2900","Holly McCormack"
"Catawba Valley LLC","$2900","$0","$2900","Holly McCormack"
"Columbus State University","$2900","$0","$2900","Holly McCormack"
"Fat Apple Farm","$2900","$0","$2900","Holly McCormack"
"Georgians for Verified Voting","$2900","$0","$2900","Holly McCormack"
"K Rowe Investments","$2900","$0","$2900","Holly McCormack"
"LHP Capital LLC","$2900","$0","$2900","Holly McCormack"
"Club for Growth","$76883","$0","$76883","Richard McCormick"
"Wilheit Packaging","$18500","$0","$18500","Richard McCormick"
"Cox Enterprises","$14500","$0","$14500","Richard McCormick"
"Jackson Healthcare","$14500","$0","$14500","Richard McCormick"
"Hennessy Automobile","$14200","$0","$14200","Richard McCormick"
"Abernathy Developmemt","$11600","$0","$11600","Richard McCormick"
"Atlanta Flooring Design","$11600","$0","$11600","Richard McCormick"
"Cajun Contractors","$11600","$0","$11600","Richard McCormick"
"Casino Law Group","$11600","$0","$11600","Richard McCormick"
"Great Point Partners","$11600","$0","$11600","Richard McCormick"
"Wells Fargo","$17400","$0","$17400","Pat McCrory"
"Nucor Corp","$15200","$2500","$12700","Pat McCrory"
"Blackstone Group","$14500","$0","$14500","Pat McCrory"
"Transportation Impact","$14200","$0","$14200","Pat McCrory"
"Hendrick Automotive Group","$12600","$0","$12600","Pat McCrory"
"Moore & Van Allen","$11700","$0","$11700","Pat McCrory"
"Christie 55 Solutions","$11600","$0","$11600","Pat McCrory"
"Hunt Companies","$11600","$0","$11600","Pat McCrory"
"Adams Beverages of Nc LLC","$8700","$0","$8700","Pat McCrory"
"Camre It Logistic","$8700","$0","$8700","Pat McCrory"
"Votesane PAC","$82000","$0","$82000","Donald McEachin"
"Altria Group","$37250","$10000","$27250","Donald McEachin"
"Dominion Energy","$31350","$10000","$21350","Donald McEachin"
"American Israel Public Affairs Cmte","$15000","$5000","$10000","Donald McEachin"
"American Crystal Sugar","$10000","$10000","$0","Donald McEachin"
"Capital One Financial","$10000","$10000","$0","Donald McEachin"
"Common Ground PAC","$10000","$10000","$0","Donald McEachin"
"Cox Enterprises","$10000","$10000","$0","Donald McEachin"
"Forward Together PAC","$10000","$10000","$0","Donald McEachin"
"Machinists/Aerospace Workers Union","$10000","$10000","$0","Donald McEachin"
"Searcy, Denney et al","$10900","$0","$10900","Randi McGinn"
"Greene, Broillet et al","$7050","$0","$7050","Randi McGinn"
"Paulson Coletti","$5800","$0","$5800","Randi McGinn"
"Davis Levin Livingston","$5600","$0","$5600","Randi McGinn"
"Koskoff, Koskoff & Bieder","$5600","$0","$5600","Randi McGinn"
"Kramer, Dillof et al","$5600","$0","$5600","Randi McGinn"
"Segal Law Firm","$5600","$0","$5600","Randi McGinn"
"American Assn for Justice","$5000","$5000","$0","Randi McGinn"
"Gair, Gair et al","$3900","$0","$3900","Randi McGinn"
"Carpenter, Zuckerman & Rowley","$3400","$0","$3400","Randi McGinn"
"Cassidy & Assoc","$12300","$0","$12300","James P McGovern"
"Air Line Pilots Assn","$10000","$10000","$0","James P McGovern"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","James P McGovern"
"American Federation of Teachers","$10000","$10000","$0","James P McGovern"
"International Assn of Fire Fighters","$10000","$10000","$0","James P McGovern"
"Laborers Union","$10000","$10000","$0","James P McGovern"
"National Assn of Letter Carriers","$10000","$10000","$0","James P McGovern"
"National Beer Wholesalers Assn","$10000","$10000","$0","James P McGovern"
"Operating Engineers Union","$10000","$10000","$0","James P McGovern"
"Painters & Allied Trades Union","$10000","$10000","$0","James P McGovern"
"Kyriba","$2150","$0","$2150","John Mcguigan"
"Everc","$1750","$0","$1750","John Mcguigan"
"Evercompliant Inc","$1500","$0","$1500","John Mcguigan"
"Lynk Global","$1000","$0","$1000","John Mcguigan"
"US Dept of Commerce","$900","$0","$900","John Mcguigan"
"CTIA","$500","$0","$500","John Mcguigan"
"Girl Scout North Carolina Coas","$500","$0","$500","John Mcguigan"
"Grupo Bimbo","$500","$0","$500","John Mcguigan"
"Perkiomen School District","$500","$0","$500","John Mcguigan"
"Sailpoint","$500","$0","$500","John Mcguigan"
"Votesane PAC","$137300","$0","$137300","Patrick McHenry"
"Alphabet Inc","$75750","$10000","$65750","Patrick McHenry"
"Signature Bank","$69450","$0","$69450","Patrick McHenry"
"MetLife Inc","$49150","$10000","$39150","Patrick McHenry"
"Welsh, Carson et al","$48000","$0","$48000","Patrick McHenry"
"DCI Group","$46000","$0","$46000","Patrick McHenry"
"Blackstone Group","$34800","$0","$34800","Patrick McHenry"
"Bank of New York Mellon","$34300","$10000","$24300","Patrick McHenry"
"Fidelity Investments","$28750","$10000","$18750","Patrick McHenry"
"JPMorgan Chase & Co","$28115","$10000","$18115","Patrick McHenry"
"Ergon Inc","$26100","$0","$26100","David McKinley"
"Invemed Assoc","$11600","$0","$11600","David McKinley"
"Trian Partners","$11600","$0","$11600","David McKinley"
"AFL-CIO","$11000","$11000","$0","David McKinley"
"Steptoe & Johnson","$10500","$0","$10500","David McKinley"
"Air Line Pilots Assn","$10000","$10000","$0","David McKinley"
"American Nurses Assn","$10000","$10000","$0","David McKinley"
"Associated General Contractors","$10000","$10000","$0","David McKinley"
"BASF SE","$10000","$10000","$0","David McKinley"
"Boilermakers Union","$10000","$10000","$0","David McKinley"
"Fluid Partners","$1000","$0","$1000","Quincy McKnight"
"Pen Cor","$800","$0","$800","Quincy McKnight"
"Operation Rescue","$500","$0","$500","Quincy McKnight"
"Winrock International","$500","$0","$500","Quincy McKnight"
"Christian Churches Pension Plan","$250","$0","$250","Quincy McKnight"
"Covenant Pay Partners","$250","$0","$250","Quincy McKnight"
"Diwgroup","$250","$0","$250","Quincy McKnight"
"Hom Group Real Estate","$250","$0","$250","Quincy McKnight"
"Tl Williams & Assoc","$5000","$0","$5000","Marc McMain"
"Element Funding","$3500","$0","$3500","Marc McMain"
"Minerva Beauty","$3000","$0","$3000","Marc McMain"
"Elite Storage Systems","$2900","$0","$2900","Marc McMain"
"Fiber Optic Construction","$2900","$0","$2900","Marc McMain"
"Hughes Electric Service","$2900","$0","$2900","Marc McMain"
"Sunbelt Asphalt","$2500","$0","$2500","Marc McMain"
"Rides the Wind Trailers","$2035","$0","$2035","Marc McMain"
"Striplings","$2000","$0","$2000","Marc McMain"
"Landcorps Inc","$1750","$0","$1750","Marc McMain"
"Tl Williams & Assoc","$5000","$0","$5000","Marc McMain"
"Element Funding","$3500","$0","$3500","Marc McMain"
"Minerva Beauty","$3000","$0","$3000","Marc McMain"
"Elite Storage Systems","$2900","$0","$2900","Marc McMain"
"Fiber Optic Construction","$2900","$0","$2900","Marc McMain"
"Hughes Electric Service","$2900","$0","$2900","Marc McMain"
"Sunbelt Asphalt","$2500","$0","$2500","Marc McMain"
"Rides the Wind Trailers","$2035","$0","$2035","Marc McMain"
"Striplings","$2000","$0","$2000","Marc McMain"
"Landcorps Inc","$1750","$0","$1750","Marc McMain"
"General Atomics","$14590","$5000","$9590","Jerry McNerney"
"University of California","$11605","$0","$11605","Jerry McNerney"
"Painters & Allied Trades Union","$10000","$10000","$0","Jerry McNerney"
"Teamsters Union","$7500","$7500","$0","Jerry McNerney"
"J Street","$6085","$3000","$3085","Jerry McNerney"
"Another Planet Entertainment","$5800","$0","$5800","Jerry McNerney"
"Janus Henderson","$5800","$0","$5800","Jerry McNerney"
"R&L Brosamer","$5800","$0","$5800","Jerry McNerney"
"Alphabet Inc","$5400","$2000","$3400","Jerry McNerney"
"American Assn for Justice","$5000","$5000","$0","Jerry McNerney"
"Ashmi for Congress","$500","$500","$0","Matthew Meade"
"Local Cantina","$25","$0","$25","Matthew Meade"
"American Israel Public Affairs Cmte","$39050","$10000","$29050","Gregory W Meeks"
"Apollo Global Management","$37950","$0","$37950","Gregory W Meeks"
"Democracy Engine","$34800","$0","$34800","Gregory W Meeks"
"Rock Holdings","$23700","$9500","$14200","Gregory W Meeks"
"NorPAC","$23250","$0","$23250","Gregory W Meeks"
"Blackstone Group","$23200","$0","$23200","Gregory W Meeks"
"Related Companies","$23200","$0","$23200","Gregory W Meeks"
"Akin, Gump et al","$18200","$5000","$13200","Gregory W Meeks"
"Genesis 10","$17400","$0","$17400","Gregory W Meeks"
"Pro-Israel America PAC","$16000","$0","$16000","Gregory W Meeks"
"Igi","$2900","$0","$2900","Rikin Mehta"
"Rutgers University","$2900","$0","$2900","Rikin Mehta"
"Tulare/Va","$2500","$0","$2500","Rikin Mehta"
"Uptown Allergy & Asthma","$2500","$0","$2500","Rikin Mehta"
"Frnchise Owner","$2100","$0","$2100","Rikin Mehta"
"Kirke Financial Services","$2000","$0","$2000","Rikin Mehta"
"M3 Hotel Developers","$2000","$0","$2000","Rikin Mehta"
"Aahia","$1500","$0","$1500","Rikin Mehta"
"Baylor, Scott & White Health","$1001","$0","$1001","Rikin Mehta"
"Bridgewater Capital LLC","$1000","$0","$1000","Rikin Mehta"
"Rdv Corp","$37700","$0","$37700","Peter Meijer"
"Meijer Inc","$34892","$0","$34892","Peter Meijer"
"Pvs Chemicals","$34000","$0","$34000","Peter Meijer"
"Ford Motor Co","$27666","$10000","$17666","Peter Meijer"
"Blue Cross/Blue Shield","$26500","$11000","$15500","Peter Meijer"
"Edward C Levy Co","$23000","$0","$23000","Peter Meijer"
"Rock Holdings","$17100","$10000","$7100","Peter Meijer"
"Amway/Alticor Inc","$15800","$10000","$5800","Peter Meijer"
"Bissell Inc","$15500","$0","$15500","Peter Meijer"
"DTE Energy","$14042","$10000","$4042","Peter Meijer"
"American Israel Public Affairs Cmte","$34050","$4200","$29850","Grace Meng"
"Elliott Management","$32580","$0","$32580","Grace Meng"
"Pro-Israel America PAC","$17150","$0","$17150","Grace Meng"
"New York Life Insurance","$10600","$10000","$600","Grace Meng"
"Verizon Communications","$10250","$10000","$250","Grace Meng"
"Air Line Pilots Assn","$10000","$10000","$0","Grace Meng"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Grace Meng"
"American Federation of Teachers","$10000","$10000","$0","Grace Meng"
"Asian American Forward","$10000","$10000","$0","Grace Meng"
"Deloitte LLP","$10000","$10000","$0","Grace Meng"
"Pride Mobility Products","$24192","$10000","$14192","Dan Meuser"
"Robindale Energy Services","$14500","$0","$14500","Dan Meuser"
"Goldman Sachs","$11600","$0","$11600","Dan Meuser"
"Comcast Corp","$11000","$10000","$1000","Dan Meuser"
"Eye of the Tiger PAC","$10000","$10000","$0","Dan Meuser"
"Majority Cmte PAC","$10000","$10000","$0","Dan Meuser"
"National Auto Dealers Assn","$10000","$10000","$0","Dan Meuser"
"Operating Engineers Union","$10000","$10000","$0","Dan Meuser"
"United Parcel Service","$10000","$10000","$0","Dan Meuser"
"Council of Insurance Agents & Brokers","$9000","$9000","$0","Dan Meuser"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Kweisi Mfume"
"American Federation of Teachers","$10000","$10000","$0","Kweisi Mfume"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Kweisi Mfume"
"Home Depot","$10000","$10000","$0","Kweisi Mfume"
"Laborers Union","$10000","$10000","$0","Kweisi Mfume"
"National Beer Wholesalers Assn","$10000","$10000","$0","Kweisi Mfume"
"Teamsters Union","$10000","$10000","$0","Kweisi Mfume"
"National Assn of Realtors","$9000","$9000","$0","Kweisi Mfume"
"American Assn for Justice","$7500","$7500","$0","Kweisi Mfume"
"Sheet Metal, Air, Rail & Transportation Union","$7500","$7500","$0","Kweisi Mfume"
"Murphy Pipeline Contractors","$2500","$0","$2500","Luis Miguel"
"National Electrical Contractors Assn","$15000","$15000","$0","Carol Miller"
"Kanawha Stone Co","$12600","$0","$12600","Carol Miller"
"Cole Automotive Group","$11600","$0","$11600","Carol Miller"
"Bill Gatton Chevrolet Cadillac","$11200","$0","$11200","Carol Miller"
"Harry Green Chevrolet","$10800","$0","$10800","Carol Miller"
"American Bankers Assn","$10000","$10000","$0","Carol Miller"
"American Crystal Sugar","$10000","$10000","$0","Carol Miller"
"American Electric Power","$10000","$10000","$0","Carol Miller"
"Automotive Free International Trade PAC","$10000","$10000","$0","Carol Miller"
"Huck PAC","$10000","$10000","$0","Carol Miller"
"House Freedom Fund","$162696","$10000","$152696","Mary Miller"
"Club for Growth","$61175","$0","$61175","Mary Miller"
"Tri County Welding","$14700","$0","$14700","Mary Miller"
"Drake Homes","$12600","$0","$12600","Mary Miller"
"Rural King Supply","$11600","$0","$11600","Mary Miller"
"Thompson Thrift","$11600","$0","$11600","Mary Miller"
"American Crystal Sugar","$10000","$10000","$0","Mary Miller"
"State of Illinois","$9650","$0","$9650","Mary Miller"
"National Cattlemen's Beef Assn","$7500","$7500","$0","Mary Miller"
"Gully Transportation","$7000","$0","$7000","Mary Miller"
"Club for Growth","$105845","$1060","$104785","Max Miller"
"Dream Motor Group","$20300","$0","$20300","Max Miller"
"Boli Group","$17400","$0","$17400","Max Miller"
"Brown Gibbons Lang & Co","$17400","$0","$17400","Max Miller"
"Neuberger Berman LLC","$17400","$0","$17400","Max Miller"
"Bernie Moreno Companies","$16205","$0","$16205","Max Miller"
"Fast Food Systems","$11600","$0","$11600","Max Miller"
"Foundations Health","$11600","$0","$11600","Max Miller"
"Goldman Sachs","$11600","$0","$11600","Max Miller"
"Graffiti Inc","$11600","$0","$11600","Max Miller"
"American Humanist Assn","$500","$500","$0","Stephen Miller"
"Burke Rehab Hospital","$240","$0","$240","Stephen Miller"
"Cleveland International Fund","$240","$0","$240","Stephen Miller"
"Democracy Engine","$31650","$0","$31650","Mariannette Miller-Meeks"
"Stephens Inc","$17400","$0","$17400","Mariannette Miller-Meeks"
"Affiliated Managers Group","$14500","$0","$14500","Mariannette Miller-Meeks"
"Consumer Technology Assn","$12900","$10000","$2900","Mariannette Miller-Meeks"
"New York Life Insurance","$12500","$12500","$0","Mariannette Miller-Meeks"
"Supporting Electing American Leaders","$12500","$12500","$0","Mariannette Miller-Meeks"
"Victory & Freedom PAC","$12500","$12500","$0","Mariannette Miller-Meeks"
"Ball Ventures","$11600","$0","$11600","Mariannette Miller-Meeks"
"Casey's General Stores","$11600","$0","$11600","Mariannette Miller-Meeks"
"Crow Holdings","$11600","$0","$11600","Mariannette Miller-Meeks"
"South Wake Capital","$14500","$0","$14500","Cory Mills"
"Buckley Muething Capital Management","$11600","$0","$11600","Cory Mills"
"Congressional Leadership Fund","$10000","$0","$10000","Cory Mills"
"Madison Project","$10000","$10000","$0","Cory Mills"
"National Assn of Realtors","$10000","$10000","$0","Cory Mills"
"Apollo Ventures Partners","$5800","$0","$5800","Cory Mills"
"Pacem","$5800","$0","$5800","Cory Mills"
"Pacem Solutions International","$5800","$0","$5800","Cory Mills"
"Gads PAC","$5000","$5000","$0","Cory Mills"
"Pencor Services","$3875","$0","$3875","Cory Mills"
"City of Miami","$2000","$0","$2000","Dennis Misigoy"
"School District Osceola County","$1100","$0","$1100","Dennis Misigoy"
"Private Equity Consultant","$300","$0","$300","Dennis Misigoy"
"Warren Averett","$257","$0","$257","Dennis Misigoy"
"Bay Pines","$250","$0","$250","Dennis Misigoy"
"Lnc","$178","$0","$178","Dennis Misigoy"
"Alsco Inc","$3900","$0","$3900","Nicholas Mitchell"
"Sentry Financial","$1000","$0","$1000","Nicholas Mitchell"
"Utah Valley University","$950","$0","$950","Nicholas Mitchell"
"Davis County Democrats","$500","$0","$500","Nicholas Mitchell"
"University of Utah","$300","$0","$300","Nicholas Mitchell"
"State of Utah","$250","$0","$250","Nicholas Mitchell"
"Zion Forever Project","$250","$0","$250","Nicholas Mitchell"
"Women'S Democratic Club","$200","$0","$200","Nicholas Mitchell"
"Pdc LLC","$100","$0","$100","Nicholas Mitchell"
"Slco Democratice Party Progressive Caucu","$49","$0","$49","Nicholas Mitchell"
"EMILY's List","$19150","$5000","$14150","Heather Mizeur"
"WilmerHale Llp","$17500","$0","$17500","Heather Mizeur"
"Avenue Solutions","$15050","$0","$15050","Heather Mizeur"
"US Dept of Health & Human Services","$13850","$0","$13850","Heather Mizeur"
"Steptoe & Johnson","$13450","$0","$13450","Heather Mizeur"
"Clinical Care Options","$11600","$0","$11600","Heather Mizeur"
"Conceptual Analytics LLC","$11600","$0","$11600","Heather Mizeur"
"Northwest Biotherapeutics","$11600","$0","$11600","Heather Mizeur"
"Synergics Energy Development","$11600","$0","$11600","Heather Mizeur"
"Ut","$11600","$0","$11600","Heather Mizeur"
"A&J Capital","$2100","$0","$2100","Willie Montague"
"Government Data Services","$1353","$0","$1353","Willie Montague"
"MK Morse Co","$1030","$0","$1030","Willie Montague"
"Cathi-The-Contractor LLC","$1000","$0","$1000","Willie Montague"
"Lake County Fire","$1000","$0","$1000","Willie Montague"
"Westcare Foundation","$1000","$0","$1000","Willie Montague"
"Dodson & Royzenblat Endodontics","$585","$0","$585","Willie Montague"
"Excecutive","$580","$0","$580","Willie Montague"
"Envera","$550","$0","$550","Willie Montague"
"Heartland LLC (Florida)","$550","$0","$550","Willie Montague"
"Dow Inc","$58075","$5000","$53075","John Moolenaar"
"Edward C Levy Co","$17400","$0","$17400","John Moolenaar"
"Three Rivers Corp","$17400","$0","$17400","John Moolenaar"
"Amway/Alticor Inc","$16600","$5000","$11600","John Moolenaar"
"Rdv Corp","$16600","$0","$16600","John Moolenaar"
"Emergent BioSolutions","$15800","$10000","$5800","John Moolenaar"
"Cadillac Casting","$15150","$0","$15150","John Moolenaar"
"Chaldean Chamber of Commerce","$14100","$0","$14100","John Moolenaar"
"Rock Holdings","$12500","$10000","$2500","John Moolenaar"
"Fisher Companies LLC","$11700","$0","$11700","John Moolenaar"
"House Freedom Fund","$102781","$10000","$92781","Alex Mooney"
"Club for Growth","$64820","$0","$64820","Alex Mooney"
"HSP Direct","$22300","$0","$22300","Alex Mooney"
"Wells Fargo","$18700","$10000","$8700","Alex Mooney"
"Franklin Resources","$17400","$0","$17400","Alex Mooney"
"Alliance Building Solutions","$11600","$0","$11600","Alex Mooney"
"ECS Federal","$11600","$0","$11600","Alex Mooney"
"Fisher Investments","$11600","$0","$11600","Alex Mooney"
"Park Square Realty","$11600","$0","$11600","Alex Mooney"
